Date,Service,Direction,Langue,Record_count
19-02-2019,Call,direct,fr,209
19-02-2019,Chat,direct,fr,98
20-02-2019,Call,direct,fr,189
20-02-2019,Chat,direct,fr,142
21-02-2019,Call,direct,fr,136
21-02-2019,Chat,direct,fr,81
22-02-2019,Chat,direct,fr,16
25-02-2019,Call,direct,fr,235
25-02-2019,Chat,direct,fr,64
25-02-2019,SMS,direct,fr,223
26-02-2019,Call,direct,fr,246
26-02-2019,Chat,direct,fr,118
27-02-2019,Call,direct,fr,199
27-02-2019,Chat,direct,fr,86
28-02-2019,Call,direct,fr,138
28-02-2019,Chat,direct,fr,76
01-03-2019,Chat,direct,fr,22
05-03-2019,Chat,direct,fr,1
06-03-2019,Chat,direct,fr,3
07-03-2019,Chat,direct,fr,2
11-03-2019,Call,direct,fr,203
11-03-2019,Chat,direct,fr,103
11-03-2019,SMS,direct,fr,202
12-03-2019,Call,direct,fr,176
12-03-2019,Chat,direct,fr,122
13-03-2019,Call,direct,fr,184
13-03-2019,Chat,direct,fr,126
14-03-2019,Call,direct,fr,131
14-03-2019,Chat,direct,fr,104
15-03-2019,Chat,direct,fr,1
18-03-2019,Call,direct,fr,269
18-03-2019,Chat,direct,fr,125
18-03-2019,SMS,direct,fr,237
19-03-2019,Call,direct,fr,228
19-03-2019,Chat,direct,fr,136
20-03-2019,Call,direct,fr,194
20-03-2019,Chat,direct,fr,101
21-03-2019,Call,direct,fr,144
21-03-2019,Chat,direct,fr,131
22-03-2019,Chat,direct,fr,5
25-03-2019,Call,direct,fr,240
25-03-2019,Chat,direct,fr,148
25-03-2019,SMS,direct,fr,266
26-03-2019,Call,direct,fr,223
26-03-2019,Chat,direct,fr,151
27-03-2019,Call,direct,fr,186
27-03-2019,Chat,direct,fr,127
28-03-2019,Call,direct,fr,129
28-03-2019,Chat,direct,fr,96
29-03-2019,Chat,direct,fr,3
01-04-2019,Call,direct,fr,209
01-04-2019,Chat,direct,fr,129
01-04-2019,SMS,direct,fr,200
02-04-2019,Call,direct,fr,228
02-04-2019,Chat,direct,fr,112
03-04-2019,Call,direct,fr,164
03-04-2019,Chat,direct,fr,81
04-04-2019,Call,direct,fr,121
04-04-2019,Chat,direct,fr,103
05-04-2019,Chat,direct,fr,2
08-04-2019,Call,direct,fr,218
08-04-2019,Chat,direct,fr,115
08-04-2019,SMS,direct,fr,238
09-04-2019,Call,direct,fr,172
09-04-2019,Chat,direct,fr,112
10-04-2019,Call,direct,fr,164
10-04-2019,Chat,direct,fr,144
11-04-2019,Call,direct,fr,152
11-04-2019,Chat,direct,fr,50
15-04-2019,Call,direct,fr,218
15-04-2019,Chat,direct,fr,125
15-04-2019,SMS,direct,fr,146
